,Num_Cashiers,Num_Servers,Num_Ushers,Average_Wait_Minutes,Average_Wait_Seconds,Total_Wait_Time_Minutes
177,2,1,7,39,19,39.31666666666667
178,2,1,8,36,38,36.63333333333333
179,2,1,9,36,11,36.18333333333333
180,2,2,1,37,34,37.56666666666667
181,2,2,2,40,43,40.71666666666667
182,2,2,3,36,48,36.8
183,2,2,4,40,13,40.21666666666667
184,2,2,5,38,12,38.2
185,2,2,6,39,8,39.13333333333333
186,2,2,7,37,14,37.233333333333334
187,2,2,8,36,32,36.53333333333333
188,2,2,9,36,3,36.05
189,2,3,1,36,25,36.416666666666664
190,2,3,2,37,1,37.016666666666666
191,2,3,3,35,46,35.766666666666666
192,2,3,4,37,27,37.45
193,2,3,5,37,8,37.13333333333333
194,2,3,6,37,43,37.71666666666667
195,2,3,7,37,1,37.016666666666666
196,2,3,8,37,56,37.93333333333333
197,2,3,9,37,53,37.88333333333333
198,2,4,1,37,5,37.083333333333336
199,2,4,2,39,52,39.86666666666667
200,2,4,3,37,28,37.46666666666667
201,2,4,4,38,4,38.06666666666667
202,2,4,5,37,48,37.8
203,2,4,6,39,6,39.1
204,2,4,7,36,6,36.1
205,2,4,8,36,17,36.28333333333333
206,2,4,9,37,34,37.56666666666667
207,2,5,1,37,53,37.88333333333333
208,2,5,2,36,45,36.75
209,2,5,3,39,15,39.25
210,2,5,4,37,53,37.88333333333333
211,2,5,5,38,45,38.75
212,2,5,6,34,3,34.05
213,2,5,7,37,5,37.083333333333336
214,2,5,8,36,56,36.93333333333333
215,2,5,9,37,53,37.88333333333333
216,2,6,1,37,38,37.63333333333333
217,2,6,2,39,11,39.18333333333333
218,2,6,3,37,12,37.2
219,2,6,4,39,15,39.25
220,2,6,5,37,53,37.88333333333333
221,2,6,6,38,9,38.15
222,2,6,7,35,46,35.766666666666666
223,2,6,8,37,37,37.61666666666667
224,2,6,9,35,56,35.93333333333333
225,2,7,1,36,38,36.63333333333333
226,2,7,2,37,8,37.13333333333333
227,2,7,3,38,4,38.06666666666667
228,2,7,4,35,44,35.733333333333334
229,2,7,5,38,47,38.78333333333333
230,2,7,6,36,24,36.4
231,2,7,7,39,9,39.15
232,2,7,8,39,2,39.03333333333333
233,2,7,9,37,25,37.416666666666664
234,2,8,1,40,25,40.416666666666664
235,2,8,2,37,20,37.333333333333336
236,2,8,3,38,17,38.28333333333333
237,2,8,4,36,52,36.86666666666667
238,2,8,5,37,60,38.0
239,2,8,6,39,19,39.31666666666667
240,2,8,7,40,9,40.15
241,2,8,8,39,12,39.2
242,2,8,9,38,56,38.93333333333333
243,2,9,1,36,44,36.733333333333334
244,2,9,2,36,42,36.7
245,2,9,3,36,18,36.3
246,2,9,4,35,48,35.8
247,2,9,5,37,16,37.266666666666666
248,2,9,6,36,56,36.93333333333333
249,2,9,7,37,35,37.583333333333336
250,2,9,8,37,32,37.53333333333333
251,2,9,9,37,14,37.233333333333334
252,2,10,1,38,10,38.166666666666664
253,2,10,2,36,50,36.833333333333336
254,2,10,3,38,58,38.96666666666667
255,2,10,4,38,57,38.95
256,2,10,5,35,50,35.833333333333336
257,2,10,6,37,13,37.21666666666667
258,2,10,7,37,29,37.483333333333334
259,2,10,8,36,20,36.333333333333336
260,2,10,9,38,52,38.86666666666667
261,2,11,1,38,28,38.46666666666667
262,2,11,2,38,38,38.63333333333333
263,2,11,3,37,51,37.85
264,2,11,4,40,33,40.55
265,2,11,5,35,10,35.166666666666664
266,2,11,6,37,7,37.11666666666667
267,2,11,7,37,28,37.46666666666667
268,2,11,8,39,18,39.3
269,2,11,9,37,59,37.983333333333334
270,2,12,1,38,47,38.78333333333333
271,2,12,2,37,56,37.93333333333333
272,2,12,3,38,23,38.38333333333333
273,2,12,4,37,59,37.983333333333334
274,2,12,5,38,52,38.86666666666667
275,2,12,6,38,26,38.43333333333333
276,2,12,7,38,15,38.25
277,2,12,8,35,35,35.583333333333336
278,2,12,9,36,53,36.88333333333333
279,2,13,1,37,51,37.85
280,2,13,2,37,57,37.95
281,2,13,3,37,29,37.483333333333334
282,2,13,4,35,30,35.5
283,2,13,5,35,48,35.8
284,2,13,6,36,11,36.18333333333333
285,2,13,7,37,34,37.56666666666667
286,2,13,8,36,1,36.016666666666666
287,2,13,9,37,36,37.6
288,2,14,1,37,8,37.13333333333333
289,2,14,2,35,0,35.0
290,2,14,3,34,47,34.78333333333333
291,2,14,4,40,15,40.25
292,2,14,5,35,40,35.666666666666664
293,2,14,6,38,15,38.25
294,2,14,7,36,40,36.666666666666664
295,2,14,8,37,50,37.833333333333336
296,2,14,9,36,9,36.15
297,2,15,1,35,37,35.61666666666667
298,2,15,2,37,18,37.3
299,2,15,3,37,29,37.483333333333334
300,2,15,4,36,23,36.38333333333333
301,2,15,5,36,59,36.983333333333334
302,2,15,6,37,41,37.68333333333333
303,2,15,7,40,4,40.06666666666667
304,2,15,8,37,4,37.06666666666667
305,2,15,9,39,52,39.86666666666667
306,2,16,1,39,2,39.03333333333333
307,2,16,2,38,31,38.516666666666666
308,2,16,3,38,36,38.6
309,2,16,4,34,51,34.85
310,2,16,5,39,13,39.21666666666667
311,2,16,6,37,48,37.8
312,2,16,7,37,32,37.53333333333333
313,2,16,8,38,60,39.0
314,2,16,9,39,7,39.11666666666667
315,2,17,1,36,33,36.55
316,2,17,2,39,10,39.166666666666664
317,2,17,3,38,55,38.916666666666664
318,2,17,4,37,22,37.36666666666667
319,2,17,5,36,7,36.11666666666667
320,2,17,6,37,28,37.46666666666667
321,2,17,7,37,25,37.416666666666664
322,2,17,8,35,47,35.78333333333333
323,2,17,9,39,2,39.03333333333333
324,2,18,1,35,35,35.583333333333336
325,2,18,2,39,4,39.06666666666667
326,2,18,3,37,12,37.2
327,2,18,4,36,8,36.13333333333333
328,2,18,5,38,19,38.31666666666667
329,2,18,6,38,27,38.45
330,2,18,7,39,8,39.13333333333333
331,2,18,8,37,31,37.516666666666666
332,2,18,9,34,36,34.6
333,2,19,1,38,39,38.65
334,2,19,2,36,22,36.36666666666667
335,2,19,3,35,50,35.833333333333336
336,2,19,4,36,33,36.55
337,2,19,5,38,55,38.916666666666664
338,2,19,6,38,1,38.016666666666666
339,2,19,7,33,35,33.583333333333336
340,2,19,8,40,14,40.233333333333334
341,2,19,9,39,2,39.03333333333333
342,3,1,1,38,27,38.45
343,3,1,2,35,45,35.75
344,3,1,3,34,47,34.78333333333333
345,3,1,4,31,50,31.833333333333332
346,3,1,5,38,7,38.11666666666667
347,3,1,6,34,2,34.03333333333333
348,3,1,7,35,14,35.233333333333334
349,3,1,8,33,55,33.916666666666664
350,3,1,9,35,6,35.1
351,3,2,1,35,37,35.61666666666667
352,3,2,2,35,40,35.666666666666664
353,3,2,3,33,26,33.43333333333333
354,3,2,4,33,27,33.45
355,3,2,5,34,58,34.96666666666667
356,3,2,6,36,38,36.63333333333333
357,3,2,7,33,34,33.56666666666667
358,3,2,8,34,56,34.93333333333333
359,3,2,9,35,11,35.18333333333333
360,3,3,1,34,47,34.78333333333333
361,3,3,2,34,6,34.1
362,3,3,3,34,24,34.4
363,3,3,4,32,44,32.733333333333334
364,3,3,5,32,52,32.86666666666667
365,3,3,6,35,57,35.95
366,3,3,7,33,21,33.35
367,3,3,8,33,6,33.1
368,3,3,9,33,9,33.15
369,3,4,1,36,30,36.5
370,3,4,2,33,34,33.56666666666667
371,3,4,3,35,14,35.233333333333334
372,3,4,4,33,18,33.3
373,3,4,5,34,33,34.55
374,3,4,6,32,55,32.916666666666664
375,3,4,7,32,48,32.8
376,3,4,8,33,8,33.13333333333333
377,3,4,9,34,44,34.733333333333334
378,3,5,1,33,33,33.55
379,3,5,2,35,6,35.1
380,3,5,3,34,23,34.38333333333333
381,3,5,4,33,23,33.38333333333333
382,3,5,5,33,45,33.75
383,3,5,6,32,15,32.25
384,3,5,7,34,24,34.4
385,3,5,8,35,5,35.083333333333336
386,3,5,9,34,15,34.25
387,3,6,1,33,40,33.666666666666664
388,3,6,2,34,6,34.1
389,3,6,3,33,57,33.95
390,3,6,4,33,38,33.63333333333333
391,3,6,5,33,1,33.016666666666666
392,3,6,6,32,17,32.28333333333333
393,3,6,7,33,59,33.983333333333334
394,3,6,8,33,27,33.45
395,3,6,9,33,21,33.35
396,3,7,1,33,10,33.166666666666664
397,3,7,2,33,19,33.31666666666667
398,3,7,3,32,29,32.483333333333334
399,3,7,4,30,39,30.65
400,3,7,5,33,39,33.65
401,3,7,6,33,16,33.266666666666666
402,3,7,7,33,5,33.083333333333336
403,3,7,8,33,50,33.833333333333336
404,3,7,9,35,12,35.2
405,3,8,1,34,23,34.38333333333333
406,3,8,2,32,26,32.43333333333333
407,3,8,3,33,40,33.666666666666664
408,3,8,4,33,58,33.96666666666667
409,3,8,5,33,35,33.583333333333336
410,3,8,6,32,27,32.45
411,3,8,7,31,49,31.816666666666666
412,3,8,8,33,41,33.68333333333333
413,3,8,9,34,22,34.36666666666667
414,3,9,1,33,53,33.88333333333333
415,3,9,2,33,9,33.15
416,3,9,3,32,43,32.71666666666667
417,3,9,4,34,7,34.11666666666667
418,3,9,5,34,20,34.333333333333336
419,3,9,6,34,26,34.43333333333333
420,3,9,7,34,22,34.36666666666667
421,3,9,8,33,24,33.4
422,3,9,9,32,50,32.833333333333336
423,3,10,1,33,30,33.5
424,3,10,2,33,23,33.38333333333333
425,3,10,3,33,8,33.13333333333333
426,3,10,4,33,51,33.85
427,3,10,5,33,2,33.03333333333333
428,3,10,6,32,24,32.4
429,3,10,7,32,16,32.266666666666666
430,3,10,8,32,7,32.11666666666667
431,3,10,9,30,16,30.266666666666666
432,3,11,1,35,25,35.416666666666664
433,3,11,2,32,55,32.916666666666664
434,3,11,3,31,53,31.883333333333333
435,3,11,4,35,18,35.3
436,3,11,5,33,3,33.05
437,3,11,6,34,57,34.95
438,3,11,7,34,36,34.6
439,3,11,8,32,23,32.38333333333333
440,3,11,9,33,17,33.28333333333333
441,3,12,1,34,52,34.86666666666667
442,3,12,2,33,58,33.96666666666667
443,3,12,3,31,21,31.35
444,3,12,4,31,58,31.966666666666665
445,3,12,5,34,53,34.88333333333333
446,3,12,6,35,4,35.06666666666667
447,3,12,7,34,28,34.46666666666667
448,3,12,8,33,10,33.166666666666664
449,3,12,9,33,9,33.15
450,3,13,1,33,16,33.266666666666666
451,3,13,2,33,8,33.13333333333333
452,3,13,3,32,32,32.53333333333333
453,3,13,4,33,9,33.15
454,3,13,5,33,20,33.333333333333336
455,3,13,6,31,45,31.75
456,3,13,7,33,20,33.333333333333336
457,3,13,8,32,56,32.93333333333333
458,3,13,9,33,0,33.0
459,3,14,1,32,52,32.86666666666667
460,3,14,2,32,34,32.56666666666667
461,3,14,3,32,5,32.083333333333336
462,3,14,4,32,49,32.81666666666667
463,3,14,5,34,33,34.55
464,3,14,6,30,22,30.366666666666667
465,3,14,7,33,29,33.483333333333334
466,3,14,8,32,8,32.13333333333333
467,3,14,9,31,57,31.95
468,3,15,1,33,35,33.583333333333336
469,3,15,2,34,53,34.88333333333333
470,3,15,3,32,40,32.666666666666664
471,3,15,4,31,9,31.15
472,3,15,5,32,50,32.833333333333336
473,3,15,6,33,15,33.25
474,3,15,7,34,32,34.53333333333333
475,3,15,8,34,26,34.43333333333333
476,3,15,9,33,22,33.36666666666667
477,3,16,1,35,26,35.43333333333333
478,3,16,2,34,57,34.95
479,3,16,3,33,38,33.63333333333333
480,3,16,4,33,37,33.61666666666667
481,3,16,5,32,7,32.11666666666667
482,3,16,6,34,16,34.266666666666666
483,3,16,7,33,20,33.333333333333336
484,3,16,8,30,52,30.866666666666667
485,3,16,9,33,15,33.25
486,3,17,1,33,47,33.78333333333333
487,3,17,2,33,59,33.983333333333334
488,3,17,3,33,11,33.18333333333333
489,3,17,4,33,4,33.06666666666667
490,3,17,5,34,13,34.21666666666667
491,3,17,6,33,26,33.43333333333333
492,3,17,7,33,6,33.1
493,3,17,8,33,33,33.55
494,3,17,9,33,53,33.88333333333333
495,3,18,1,33,38,33.63333333333333
496,3,18,2,32,12,32.2
497,3,18,3,33,46,33.766666666666666
498,3,18,4,33,48,33.8
499,3,18,5,34,58,34.96666666666667
500,3,18,6,32,3,32.05
501,3,18,7,33,2,33.03333333333333
502,3,18,8,34,50,34.833333333333336
503,3,18,9,34,10,34.166666666666664
504,3,19,1,33,2,33.03333333333333
505,3,19,2,33,19,33.31666666666667
506,3,19,3,32,29,32.483333333333334
507,3,19,4,34,31,34.516666666666666
508,3,19,5,32,54,32.9
509,3,19,6,32,40,32.666666666666664
510,3,19,7,35,33,35.55
511,3,19,8,34,12,34.2
512,3,19,9,32,52,32.86666666666667
513,4,1,1,31,55,31.916666666666668
514,4,1,2,30,39,30.65
515,4,1,3,29,49,29.816666666666666
516,4,1,4,32,3,32.05
517,4,1,5,32,15,32.25
518,4,1,6,31,32,31.533333333333335
519,4,1,7,29,15,29.25
520,4,1,8,30,52,30.866666666666667
521,4,1,9,33,46,33.766666666666666
522,4,2,1,32,11,32.18333333333333
523,4,2,2,32,59,32.983333333333334
524,4,2,3,30,14,30.233333333333334
525,4,2,4,31,25,31.416666666666668
526,4,2,5,30,6,30.1
527,4,2,6,29,15,29.25
528,4,2,7,28,56,28.933333333333334
529,4,2,8,32,49,32.81666666666667
530,4,2,9,31,4,31.066666666666666
531,4,3,1,29,32,29.533333333333335
532,4,3,2,29,5,29.083333333333332
533,4,3,3,29,2,29.033333333333335
534,4,3,4,30,34,30.566666666666666
535,4,3,5,30,26,30.433333333333334
536,4,3,6,27,49,27.816666666666666
537,4,3,7,29,10,29.166666666666668
538,4,3,8,29,29,29.483333333333334
539,4,3,9,31,17,31.283333333333335
540,4,4,1,28,6,28.1
541,4,4,2,28,52,28.866666666666667
542,4,4,3,29,1,29.016666666666666
543,4,4,4,29,22,29.366666666666667
544,4,4,5,27,27,27.45
545,4,4,6,29,20,29.333333333333332
546,4,4,7,26,59,26.983333333333334
547,4,4,8,28,24,28.4
548,4,4,9,29,43,29.716666666666665
549,4,5,1,27,53,27.883333333333333
550,4,5,2,29,14,29.233333333333334
551,4,5,3,28,48,28.8
552,4,5,4,28,10,28.166666666666668
553,4,5,5,28,54,28.9
554,4,5,6,28,2,28.033333333333335
555,4,5,7,28,58,28.966666666666665
556,4,5,8,28,48,28.8
557,4,5,9,28,50,28.833333333333332
558,4,6,1,29,2,29.033333333333335
559,4,6,2,28,34,28.566666666666666
560,4,6,3,29,58,29.966666666666665
561,4,6,4,30,36,30.6
562,4,6,5,28,42,28.7
563,4,6,6,28,29,28.483333333333334
564,4,6,7,29,41,29.683333333333334
565,4,6,8,28,21,28.35
566,4,6,9,27,13,27.216666666666665
567,4,7,1,29,41,29.683333333333334
568,4,7,2,28,41,28.683333333333334
569,4,7,3,28,27,28.45
570,4,7,4,29,35,29.583333333333332
571,4,7,5,28,13,28.216666666666665
572,4,7,6,29,6,29.1
573,4,7,7,28,34,28.566666666666666
574,4,7,8,28,54,28.9
575,4,7,9,28,27,28.45
576,4,8,1,29,59,29.983333333333334
577,4,8,2,28,43,28.716666666666665
578,4,8,3,30,28,30.466666666666665
579,4,8,4,30,25,30.416666666666668
580,4,8,5,28,23,28.383333333333333
581,4,8,6,31,36,31.6
582,4,8,7,27,59,27.983333333333334
583,4,8,8,29,17,29.283333333333335
584,4,8,9,28,29,28.483333333333334
585,4,9,1,28,58,28.966666666666665
586,4,9,2,29,27,29.45
587,4,9,3,28,51,28.85
588,4,9,4,27,9,27.15
589,4,9,5,27,39,27.65
590,4,9,6,30,7,30.116666666666667
591,4,9,7,29,28,29.466666666666665
592,4,9,8,29,48,29.8
593,4,9,9,29,10,29.166666666666668
594,4,10,1,28,59,28.983333333333334
595,4,10,2,28,60,29.0
596,4,10,3,30,11,30.183333333333334
597,4,10,4,28,28,28.466666666666665
598,4,10,5,29,33,29.55
599,4,10,6,28,20,28.333333333333332
600,4,10,7,27,54,27.9
601,4,10,8,30,49,30.816666666666666
602,4,10,9,30,3,30.05
603,4,11,1,30,58,30.966666666666665
604,4,11,2,30,3,30.05
605,4,11,3,28,0,28.0
606,4,11,4,27,32,27.533333333333335
607,4,11,5,28,41,28.683333333333334
608,4,11,6,27,13,27.216666666666665
609,4,11,7,30,6,30.1
610,4,11,8,27,59,27.983333333333334
611,4,11,9,28,46,28.766666666666666
612,4,12,1,28,42,28.7
613,4,12,2,28,51,28.85
614,4,12,3,29,6,29.1
615,4,12,4,28,8,28.133333333333333
616,4,12,5,27,42,27.7
617,4,12,6,29,48,29.8
618,4,12,7,29,42,29.7
619,4,12,8,29,1,29.016666666666666
620,4,12,9,28,39,28.65
621,4,13,1,27,42,27.7
622,4,13,2,28,31,28.516666666666666
623,4,13,3,28,41,28.683333333333334
624,4,13,4,28,24,28.4
625,4,13,5,28,14,28.233333333333334
626,4,13,6,29,14,29.233333333333334
627,4,13,7,29,57,29.95
628,4,13,8,28,20,28.333333333333332
629,4,13,9,28,57,28.95
630,4,14,1,30,42,30.7
631,4,14,2,28,29,28.483333333333334
632,4,14,3,30,9,30.15
633,4,14,4,28,40,28.666666666666668
634,4,14,5,28,46,28.766666666666666
635,4,14,6,29,48,29.8
636,4,14,7,27,35,27.583333333333332
637,4,14,8,29,29,29.483333333333334
638,4,14,9,28,34,28.566666666666666
639,4,15,1,29,45,29.75
640,4,15,2,29,9,29.15
641,4,15,3,29,3,29.05
642,4,15,4,28,52,28.866666666666667
643,4,15,5,29,54,29.9
644,4,15,6,28,42,28.7
645,4,15,7,29,54,29.9
646,4,15,8,28,7,28.116666666666667
647,4,15,9,28,26,28.433333333333334
648,4,16,1,29,7,29.116666666666667
649,4,16,2,29,8,29.133333333333333
650,4,16,3,28,17,28.283333333333335
651,4,16,4,30,19,30.316666666666666
652,4,16,5,30,9,30.15
653,4,16,6,28,34,28.566666666666666
654,4,16,7,29,10,29.166666666666668
655,4,16,8,28,59,28.983333333333334
656,4,16,9,29,20,29.333333333333332
657,4,17,1,28,18,28.3
658,4,17,2,30,14,30.233333333333334
659,4,17,3,29,44,29.733333333333334
660,4,17,4,28,17,28.283333333333335
661,4,17,5,29,49,29.816666666666666
662,4,17,6,25,43,25.716666666666665
663,4,17,7,30,60,31.0
664,4,17,8,28,26,28.433333333333334
665,4,17,9,28,43,28.716666666666665
666,4,18,1,29,36,29.6
667,4,18,2,27,42,27.7
668,4,18,3,29,9,29.15
669,4,18,4,29,21,29.35
670,4,18,5,28,56,28.933333333333334
671,4,18,6,27,40,27.666666666666668
672,4,18,7,27,43,27.716666666666665
673,4,18,8,28,27,28.45
674,4,18,9,26,13,26.216666666666665
675,4,19,1,29,56,29.933333333333334
676,4,19,2,28,45,28.75
677,4,19,3,30,13,30.216666666666665
678,4,19,4,27,40,27.666666666666668
679,4,19,5,28,11,28.183333333333334
680,4,19,6,28,57,28.95
681,4,19,7,28,45,28.75
682,4,19,8,31,18,31.3
683,4,19,9,28,26,28.433333333333334
684,5,1,1,24,42,24.7
685,5,1,2,25,41,25.683333333333334
686,5,1,3,26,0,26.0
687,5,1,4,26,43,26.716666666666665
688,5,1,5,27,2,27.033333333333335
689,5,1,6,29,11,29.183333333333334
690,5,1,7,26,21,26.35
691,5,1,8,28,38,28.633333333333333
692,5,1,9,27,17,27.283333333333335
693,5,2,1,27,40,27.666666666666668
694,5,2,2,29,31,29.516666666666666
695,5,2,3,26,25,26.416666666666668
696,5,2,4,28,18,28.3
697,5,2,5,29,5,29.083333333333332
698,5,2,6,26,41,26.683333333333334
699,5,2,7,27,35,27.583333333333332
700,5,2,8,27,5,27.083333333333332
701,5,2,9,26,34,26.566666666666666
702,5,3,1,26,42,26.7
703,5,3,2,26,8,26.133333333333333
704,5,3,3,28,3,28.05
705,5,3,4,25,48,25.8
706,5,3,5,26,26,26.433333333333334
707,5,3,6,28,31,28.516666666666666
708,5,3,7,25,41,25.683333333333334
709,5,3,8,24,29,24.483333333333334
710,5,3,9,29,15,29.25
711,5,4,1,29,2,29.033333333333335
712,5,4,2,26,26,26.433333333333334
713,5,4,3,24,44,24.733333333333334
714,5,4,4,23,41,23.683333333333334
715,5,4,5,24,40,24.666666666666668
716,5,4,6,25,34,25.566666666666666
717,5,4,7,23,33,23.55
718,5,4,8,24,60,25.0
719,5,4,9,26,46,26.766666666666666
720,5,5,1,26,12,26.2
721,5,5,2,25,23,25.383333333333333
722,5,5,3,23,26,23.433333333333334
723,5,5,4,25,41,25.683333333333334
724,5,5,5,24,45,24.75
725,5,5,6,25,52,25.866666666666667
726,5,5,7,24,32,24.533333333333335
727,5,5,8,24,58,24.966666666666665
728,5,5,9,24,19,24.316666666666666
729,5,6,1,25,20,25.333333333333332
730,5,6,2,24,0,24.0
731,5,6,3,25,45,25.75
732,5,6,4,24,56,24.933333333333334
733,5,6,5,23,36,23.6
734,5,6,6,26,14,26.233333333333334
735,5,6,7,23,46,23.766666666666666
736,5,6,8,27,15,27.25
737,5,6,9,25,12,25.2
