,0
0,1.05
1,1.0499999999999998
2,3.05
3,3.05
4,1.2499999999999996
5,3.05
6,1.4499999999999988
7,3.2500000000000004
8,1.4999999999999991
9,2.449999999999999
10,6.05
11,1.8999999999999986
12,2.449999999999999
13,7.05
14,7.250000000000001
15,3.8499999999999988
16,3.8499999999999996
17,3.8499999999999988
18,7.900000000000001
19,3.6499999999999977
20,3.4999999999999982
21,3.0499999999999963
22,4.049999999999997
23,3.049999999999999
24,5.049999999999998
25,11.65
26,3.3000000000000007
27,4.049999999999997
28,4.899999999999997
29,4.849999999999997
30,3.2500000000000053
31,5.049999999999999
32,3.300000000000006
33,12.450000000000001
34,4.5000000000000036
35,13.05
36,3.70000000000001
37,5.450000000000003
38,4.6500000000000075
39,3.900000000000011
40,13.05
41,5.650000000000009
42,3.850000000000012
43,5.45000000000001
44,6.250000000000011
45,5.250000000000018
46,5.450000000000017
47,5.050000000000022
48,6.650000000000016
49,19.650000000000002
50,7.0500000000000185
51,6.450000000000024
52,7.050000000000026
53,5.850000000000026
54,5.85000000000003
55,20.650000000000002
56,5.850000000000033
57,7.6500000000000306
58,6.250000000000039
59,7.450000000000035
60,6.250000000000039
61,6.250000000000043
62,6.450000000000042
63,8.250000000000039
64,25.25
65,8.450000000000042
66,8.450000000000042
67,7.050000000000047
68,7.25000000000005
69,9.050000000000047
70,7.100000000000055
71,8.05000000000005
72,9.25000000000005
73,28.849999999999998
74,8.100000000000048
75,7.550000000000047
76,7.250000000000057
77,8.050000000000058
78,7.850000000000058
79,32.449999999999996
80,9.650000000000063
81,9.250000000000068
82,10.050000000000068
83,9.250000000000068
84,9.050000000000072
85,10.050000000000072
86,9.250000000000075
87,9.850000000000072
88,8.850000000000076
89,8.85000000000008
90,10.250000000000071
91,9.050000000000075
92,36.64999999999999
93,11.050000000000075
94,11.050000000000068
95,39.699999999999996
96,11.250000000000064
97,11.650000000000063
98,11.500000000000057
99,10.450000000000038
100,11.250000000000043
101,10.850000000000037
102,10.700000000000031
103,40.64999999999999
104,11.100000000000023
105,10.850000000000023
106,12.250000000000036
107,10.650000000000006
108,42.849999999999994
109,11.700000000000003
110,13.050000000000026
111,43.05
112,11.09999999999998
113,12.649999999999999
114,12.049999999999976
115,12.049999999999969
116,46.05
117,11.899999999999963
118,11.549999999999955
119,11.24999999999995
120,13.049999999999976
121,45.24999999999999
122,11.499999999999943
123,12.249999999999957
124,11.449999999999939
125,11.249999999999929
126,12.249999999999936
127,11.249999999999915
128,13.449999999999932
129,12.299999999999912
130,13.449999999999932
131,13.249999999999922
132,49.05
133,13.44999999999991
134,13.049999999999898
135,13.049999999999898
136,13.849999999999902
137,14.2499999999999
138,12.649999999999878
139,13.84999999999988
140,14.84999999999988
141,51.849999999999994
142,13.64999999999985
143,13.649999999999842
144,15.44999999999986
145,14.849999999999838
146,55.05
147,13.849999999999824
148,14.849999999999838
149,14.699999999999832
150,14.049999999999812
151,14.049999999999812
152,15.849999999999838
153,13.84999999999981
154,13.849999999999795
155,14.84999999999981
156,16.049999999999812
157,14.849999999999795
158,15.649999999999807
159,57.050000000000004
160,15.849999999999795
161,14.29999999999977
162,15.249999999999773
163,59.65
164,14.249999999999758
165,15.649999999999764
166,15.499999999999758
167,59.75
168,15.249999999999758
169,16.249999999999744
170,16.04999999999974
171,15.649999999999736
172,16.24999999999973
173,16.44999999999972
174,15.649999999999707
175,17.44999999999972
176,63.05000000000001
177,16.2999999999997
178,17.44999999999972
179,17.44999999999972
180,64.85000000000001
181,17.499999999999673
182,16.549999999999656
183,17.449999999999662
184,16.449999999999648
185,67.85000000000001
186,18.64999999999965
187,18.449999999999648
188,17.84999999999964
189,19.049999999999642
190,19.44999999999962
191,19.44999999999962
192,18.649999999999608
193,19.44999999999962
194,19.299999999999613
195,72.65
196,19.2999999999996
197,18.64999999999958
198,19.44999999999959
199,20.649999999999594
200,19.249999999999574
201,20.649999999999594
202,20.249999999999588
203,75.25000000000001
204,20.499999999999574
205,20.449999999999562
206,19.449999999999548
207,20.449999999999562
208,20.299999999999557
209,21.449999999999577
