"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1009",19.194643,19.52857,19.057142,19.426071,412610800,17.12587
"1010",19.440001,19.498571,19.21143,19.287144,317209200,17.003387
"1011",19.243214,19.484285,19.23893,19.409286,258529600,17.111071
"1012",19.52857,19.530714,19.119642,19.161428,279148800,16.892561
"1013",19.279642,19.314285,18.968214,19.033571,304976000,16.779844
"1014",18.925358,19.375,18.924286,19.133215,378492800,16.867687
"1015",19.222143,19.526072,19.202143,19.513929,332561600,17.203327
"1016",19.768572,20.007143,19.702143,19.905714,391638800,17.548717
"1017",19.817858,19.887501,19.702856,19.794643,229278000,17.450798
"1018",19.695715,19.716785,19.282143,19.309643,426739600,17.023222
"1019",19.321072,19.645357,19.300714,19.609644,328526800,17.287699
"1020",19.675358,19.903214,19.564644,19.696787,379985200,17.364527
"1021",19.640715,19.875,19.4575,19.863571,403239200,17.511566
"1022",19.785713,19.843571,19.455357,19.502501,429354800,17.193241
"1023",19.645357,19.814285,19.491072,19.660713,554878800,17.332724
"1024",18.17,18.392857,17.93107,18.089287,1065523200,15.947371
"1025",17.998215,18.120358,17.807858,17.883928,502810000,15.766327
"1026",17.947857,18.089287,17.739286,17.849285,678501600,15.735785
"1027",17.684999,17.911785,17.626785,17.878571,464797200,15.761605
"1028",17.950357,18.133215,17.832144,17.911785,401464000,15.790883
"1029",18.066071,18.195,17.955713,18.17107,376681200,16.019472
"1030",18.091429,18.402857,18.080357,18.306786,328344800,16.139116
"1031",18.216429,18.339287,18.13607,18.303928,257765200,16.233191
"1032",18.620714,18.676071,18.477858,18.559999,370280400,16.460283
"1033",18.523571,18.999643,18.5,18.8925,345559200,16.755169
"1034",18.950357,19.205357,18.910713,19.14143,282256800,16.975939
"1035",19.176786,19.27,19.044287,19.139999,308100800,16.974672
"1036",19.094999,19.458929,19.078571,19.44393,307398000,17.244215
"1037",19.373928,19.499287,19.32893,19.428213,272924400,17.230276
"1038",19.5,19.685356,19.486071,19.499643,260251600,17.293625
"1039",19.455357,19.531786,19.083929,19.191786,313768000,17.020596
"1040",19.035357,19.178572,18.892857,18.969643,305858000,16.823582
"1041",19.028214,19.091785,18.735714,18.758928,278784800,16.636713
"1042",18.683929,18.925714,18.657858,18.84107,288909600,16.70956
"1043",18.906429,18.913214,18.607143,18.645,231952000,16.535673
"1044",18.700357,18.75,18.414286,18.476786,276217200,16.386492
"1045",18.469286,18.885,18.430357,18.845358,301882000,16.713362
"1046",18.895714,19.026787,18.647142,18.794287,371968800,16.668066
"1047",18.693571,18.951786,18.671785,18.848572,238781200,16.716213
"1048",18.964287,19.022858,18.848928,18.972857,259140000,16.826437
"1049",18.96143,19.098213,18.897499,19.012857,200062800,16.861914
"1050",19.028214,19.087143,18.860714,18.955357,185488800,16.810919
"1051",18.967501,18.999287,18.7875,18.944286,220729600,16.801092
"1052",18.870001,19.047501,18.869286,18.96143,178584000,16.816299
"1053",19.123215,19.240713,19.02107,19.14607,279224400,16.980043
"1054",19.089643,19.191071,19,19.164642,199326400,16.996523
"1055",19.194286,19.273571,18.898571,18.951786,257742800,16.807751
"1056",18.885357,18.960358,18.678572,18.73893,237199200,16.618973
"1057",18.84643,18.9275,18.780357,18.812143,199544800,16.683905
