created_month,country,currency_code,exchange_rate
2021-06-01,Costa Rica,CRC,607.44
2021-07-01,Costa Rica,CRC,608.04
2021-08-01,Costa Rica,CRC,609.01
2021-09-01,Costa Rica,CRC,612.53
2021-10-01,Costa Rica,CRC,615.86
2021-11-01,Costa Rica,CRC,627.53
2021-12-01,Costa Rica,CRC,624.29
2022-01-01,Costa Rica,CRC,626.64
2022-02-01,Costa Rica,CRC,629.22
2022-03-01,Costa Rica,CRC,633.77
2022-04-01,Costa Rica,CRC,644.76
2022-05-01,Costa Rica,CRC,655.79
2022-06-01,Costa Rica,CRC,672.55
2022-07-01,Costa Rica,CRC,680.98
2022-08-01,Costa Rica,CRC,660.41
2022-09-01,Costa Rica,CRC,639.34
2022-10-01,Costa Rica,CRC,624.33
2022-11-01,Costa Rica,CRC,611.39
2022-12-01,Costa Rica,CRC,591.01
2023-01-01,Costa Rica,CRC,576.4
2023-02-01,Costa Rica,CRC,565.49
2023-03-01,Costa Rica,CRC,546.59
2023-04-01,Costa Rica,CRC,536.48
2023-05-01,Costa Rica,CRC,539.24
2023-06-01,Costa Rica,CRC,539.94
2023-07-01,Costa Rica,CRC,543.78
2019-01-01,Brazil,BRL,0
2019-02-01,Brazil,BRL,0
2019-03-01,Brazil,BRL,0
2019-04-01,Brazil,BRL,0
2019-05-01,Brazil,BRL,0
2019-06-01,Brazil,BRL,0
2019-07-01,Brazil,BRL,0
2019-08-01,Brazil,BRL,0
2019-09-01,Brazil,BRL,0
2019-10-01,Brazil,BRL,0
2019-11-01,Brazil,BRL,0
2019-12-01,Brazil,BRL,0
2020-01-01,Brazil,BRL,4.13
2020-02-01,Brazil,BRL,4.47
2020-03-01,Brazil,BRL,4.87
2020-04-01,Brazil,BRL,5.31
2020-05-01,Brazil,BRL,5.62
2020-06-01,Brazil,BRL,5.26
2020-07-01,Brazil,BRL,5.29
2020-08-01,Brazil,BRL,5.44
2020-09-01,Brazil,BRL,5.39
2020-10-01,Brazil,BRL,5.62
2020-11-01,Brazil,BRL,5.44
2020-12-01,Brazil,BRL,5.15
2021-01-01,Brazil,BRL,5.35
2021-02-01,Brazil,BRL,5.42
2021-03-01,Brazil,BRL,5.64
2021-04-01,Brazil,BRL,5.58
2021-05-01,Brazil,BRL,5.3
2021-06-01,Brazil,BRL,5.04
2021-07-01,Brazil,BRL,5.16
2021-08-01,Brazil,BRL,5.25
2021-09-01,Brazil,BRL,5.27
2021-10-01,Brazil,BRL,5.53
2021-11-01,Brazil,BRL,5.56
2021-12-01,Brazil,BRL,5.66
2022-01-01,Brazil,BRL,5.53
2022-02-01,Brazil,BRL,5.2
2022-03-01,Brazil,BRL,4.98
2022-04-01,Brazil,BRL,4.74
2022-05-01,Brazil,BRL,4.95
2022-06-01,Brazil,BRL,5.04
2022-07-01,Brazil,BRL,5.36
2022-08-01,Brazil,BRL,5.14
2022-09-01,Brazil,BRL,5.23
2022-10-01,Brazil,BRL,5.27
2022-11-01,Brazil,BRL,5.28
2022-12-01,Brazil,BRL,5.24
2023-01-01,Brazil,BRL,5.19
2023-02-01,Brazil,BRL,5.18
2023-03-01,Brazil,BRL,5.22
2023-04-01,Brazil,BRL,5.02
2023-05-01,Brazil,BRL,5.01
2023-06-01,Brazil,BRL,4.86
2023-07-01,Brazil,BRL,4.79
2019-01-01,Peru,PEN,0
2019-02-01,Peru,PEN,0
2019-03-01,Peru,PEN,0
2019-04-01,Peru,PEN,0
2019-05-01,Peru,PEN,0
2019-06-01,Peru,PEN,0
2019-07-01,Peru,PEN,0
2019-08-01,Peru,PEN,0
2019-09-01,Peru,PEN,0
2019-10-01,Peru,PEN,0
2019-11-01,Peru,PEN,0
2019-12-01,Peru,PEN,0
2020-01-01,Peru,PEN,3.28
2020-02-01,Peru,PEN,3.41
2020-03-01,Peru,PEN,3.46
2020-04-01,Peru,PEN,3.38
2020-05-01,Peru,PEN,3.39
2020-06-01,Peru,PEN,3.44
2020-07-01,Peru,PEN,3.49
2020-08-01,Peru,PEN,3.53
2020-09-01,Peru,PEN,3.53
2020-10-01,Peru,PEN,3.57
2020-11-01,Peru,PEN,3.61
2020-12-01,Peru,PEN,3.6
2021-01-01,Peru,PEN,3.63
2021-02-01,Peru,PEN,3.64
2021-03-01,Peru,PEN,3.68
2021-04-01,Peru,PEN,3.67
2021-05-01,Peru,PEN,3.75
2021-06-01,Peru,PEN,3.88
2021-07-01,Peru,PEN,3.9
2021-08-01,Peru,PEN,4.04
2021-09-01,Peru,PEN,4.08
2021-10-01,Peru,PEN,4
2021-11-01,Peru,PEN,3.99
2021-12-01,Peru,PEN,4.01
2022-01-01,Peru,PEN,3.87
2022-02-01,Peru,PEN,3.77
2022-03-01,Peru,PEN,3.71
2022-04-01,Peru,PEN,3.71
2022-05-01,Peru,PEN,3.73
2022-06-01,Peru,PEN,3.71
2022-07-01,Peru,PEN,3.89
2022-08-01,Peru,PEN,3.87
2022-09-01,Peru,PEN,3.89
2022-10-01,Peru,PEN,3.97
2022-11-01,Peru,PEN,3.88
2022-12-01,Peru,PEN,3.82
2023-01-01,Peru,PEN,3.82
2023-02-01,Peru,PEN,3.84
2023-03-01,Peru,PEN,3.78
2023-04-01,Peru,PEN,3.76
2023-05-01,Peru,PEN,3.67
2023-06-01,Peru,PEN,3.65
2023-07-01,Peru,PEN,3.57
2019-01-01,Chile,CLP,0
2019-02-01,Chile,CLP,0
2019-03-01,Chile,CLP,0
2019-04-01,Chile,CLP,0
2019-05-01,Chile,CLP,0
2019-06-01,Chile,CLP,0
2019-07-01,Chile,CLP,0
2019-08-01,Chile,CLP,0
2019-09-01,Chile,CLP,0
2019-10-01,Chile,CLP,0
2019-11-01,Chile,CLP,0
2019-12-01,Chile,CLP,0
2020-01-01,Chile,CLP,772.64
2020-02-01,Chile,CLP,817.4
2020-03-01,Chile,CLP,840.2
2020-04-01,Chile,CLP,853.42
2020-05-01,Chile,CLP,820.37
2020-06-01,Chile,CLP,794.53
2020-07-01,Chile,CLP,784.45
2020-08-01,Chile,CLP,784.44
2020-09-01,Chile,CLP,772.92
2020-10-01,Chile,CLP,788.18
2020-11-01,Chile,CLP,762.91
2020-12-01,Chile,CLP,731.19
2021-01-01,Chile,CLP,723.23
2021-02-01,Chile,CLP,722.62
2021-03-01,Chile,CLP,725.58
2021-04-01,Chile,CLP,708.45
2021-05-01,Chile,CLP,711.41
2021-06-01,Chile,CLP,728.44
2021-07-01,Chile,CLP,751.34
2021-08-01,Chile,CLP,780.17
2021-09-01,Chile,CLP,784.32
2021-10-01,Chile,CLP,814.26
2021-11-01,Chile,CLP,814.6
2021-12-01,Chile,CLP,848.5
2022-01-01,Chile,CLP,820.81
2022-02-01,Chile,CLP,807.62
2022-03-01,Chile,CLP,797.96
2022-04-01,Chile,CLP,816.24
2022-05-01,Chile,CLP,847.37
2022-06-01,Chile,CLP,863.53
2022-07-01,Chile,CLP,963.02
2022-08-01,Chile,CLP,904.19
2022-09-01,Chile,CLP,922.76
2022-10-01,Chile,CLP,954.51
2022-11-01,Chile,CLP,918.11
2022-12-01,Chile,CLP,874.02
2023-01-01,Chile,CLP,824.47
2023-02-01,Chile,CLP,800.31
2023-03-01,Chile,CLP,808.67
2023-04-01,Chile,CLP,804.86
2023-05-01,Chile,CLP,801.5
2023-06-01,Chile,CLP,798.21
